# порождено настоящим DecideCreatePost; правится не здесь
# id	userIdHex	status	postsLastHour	commentsLastHour	postIdHex	bodyHex	verdict	errorCode
# limits	1000	20
1	752d616e64726579	ACTIVE	0	0	702d31303031	d0bfd180d0b8d0b2d0b5d182	accepted	-
2	-	ACTIVE	0	0	702d31303031	d0bfd180d0b8d0b2d0b5d182	rejected	INSUFFICIENT_CONTEXT
3	3031323334353637383930313233343536373839303132333435363738393031323334353637383978	ACTIVE	0	0	702d31303031	d0bfd180d0b8d0b2d0b5d182	rejected	INSUFFICIENT_CONTEXT
4	7520616e64726579	ACTIVE	0	0	702d31303031	d0bfd180d0b8d0b2d0b5d182	rejected	INSUFFICIENT_CONTEXT
5	752d616e64726579	ACTIVE	-1	0	702d31303031	d0bfd180d0b8d0b2d0b5d182	rejected	INSUFFICIENT_CONTEXT
6	752d616e64726579	ACTIVE	0	-1	702d31303031	d0bfd180d0b8d0b2d0b5d182	rejected	INSUFFICIENT_CONTEXT
7	752d616e64726579	ACTIVE	0	0	-	d0bfd180d0b8d0b2d0b5d182	rejected	INSUFFICIENT_CONTEXT
8	752d616e64726579	ACTIVE	0	0	702031303031	d0bfd180d0b8d0b2d0b5d182	rejected	INSUFFICIENT_CONTEXT
9	752d616e64726579	BANNED	0	0	702d31303031	202020	rejected	ACTOR_BANNED
10	752d616e64726579	DELETED	0	0	702d31303031	202020	rejected	ACTOR_BANNED
11	752d616e64726579	ACTIVE	0	0	702d31303031	-	rejected	POST_BODY_EMPTY
12	752d616e64726579	ACTIVE	0	0	702d31303031	202020	rejected	POST_BODY_EMPTY
13	752d616e64726579	ACTIVE	0	0	702d31303031	090a0d20	rejected	POST_BODY_EMPTY
